Dalvik/2.1.0 (Linux; U; Android 13; Pixel 4a Build/TPB3.220513.017.B1)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S908B Build/TP1A.220513.002)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 5 Build/TPB4.220624.005)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6 Build/TP1A.220624.021)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 5 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 5 Build/TP1A.220905.004)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 4 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6 Build/TP1A.220905.004)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 4 Build/TP1A.220905.004)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 4a (5G) Build/TP1A.220905.004)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 4 XL Build/TP1A.220905.004)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6 Pro Build/TP1A.220905.004)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6a Build/TP1A.220905.004.A2)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 5a Build/TP1A.220905.004)
Dalvik/2.1.0 (Linux; U; Android 13; Redmi Note 9 Pro Max Build/TP1A.220905.004)
Dalvik/2.1.0 (Linux; U; Android 13; Redfin 64-bit only Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 4 XL Build/TP1A.221005.002)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6 Pro Build/TP1A.220905.004.A1)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6a Build/TP1A.221005.003)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6 Build/TP1A.221005.002)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 5a Build/TP1A.221005.002)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 4a Build/T1B1.220819.006)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6 Build/TP1A.220905.004.A1)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 5 Build/TP1A.221005.002)
Dalvik/2.1.0 (Linux; U; Android 13; NE2213 Build/SKQ1.220519.001)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 4a Build/TP1A.221005.002)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6 Pro Build/TP1A.221005.002)
Dalvik/2.1.0 (Linux; U; Android 13; sdk_gphone64_x86_64 Build/TPB4.220624.004)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Pro Build/TD1A.220804.031)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6 Build/T1B1.220819.006)
Dalvik/2.1.0 (Linux; U; Android 13; sdk_goog3_x86_64 Build/TE1A.220917.001)
Dalvik/2.1.0 (Linux; U; Android 13; RMX3310 Build/TP1A.220905.001)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 4a (5G) Build/TP1A.221005.002)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Build/TD1A.220804.009.A2)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 4 Build/TP1A.221005.002)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Pro Build/TD1A.220804.009.A5)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Build/TD1A.220804.031)
Dalvik/2.1.0 (Linux; U; Android 13; CPH2307 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S906B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6 Pro Build/T1B3.221003.003)
Dalvik/2.1.0 (Linux; U; Android 13; CPH2305 Build/SKQ1.220519.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S908B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A326U Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S908U Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S908N Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S906U Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; HD1913 Build/TKQ1.220915.002)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 4a (5G) Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Mi 9T Pro Build/TP1A.220905.004)
Dalvik/2.1.0 (Linux; U; Android 13; LE2123 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G998B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; RMX3560 Build/TP1A.220905.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S906E Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S908E Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S908U1 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G980F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G996B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 4a (5G) Build/TP1A.221105.002)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 4a Build/TP1A.221105.002)
Dalvik/2.1.0 (Linux; U; Android 13; Moto G(8) Family (AOSP) Build/TP1A.221005.003)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Build/TD1A.221105.001)
Dalvik/2.1.0 (Linux; U; Android 13; PFEM10 Build/SKQ1.220519.001)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S901E Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 5a Build/TP1A.221105.002)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 6 Build/TP1A.221105.002)
Dalvik/2.1.0 (Linux; U; Android 13; SM-N985F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A536B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G986B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Pro Build/TD1A.221105.003)
Dalvik/2.1.0 (Linux; U; Android 13; XQ-CT54 Build/64.1.A.0.851)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S901U1 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-A336B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-N986B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Redmi Note 7 Pro Build/TP1A.221005.002)
Dalvik/2.1.0 (Linux; U; Android 13; RMX3301 Build/SKQ1.220519.001)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Build/TD1A.221105.001.A1)
Dalvik/2.1.0 (Linux; U; Android 13; CPH2249 Build/TP1A.220905.001)
Dalvik/2.1.0 (Linux; U; Android 13; I2017 Build/TP1A.220624.003)
Dalvik/2.1.0 (Linux; U; Android 13; LE2113 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; Pixel 7 Pro Build/TD1A.221105.001.A1)
Dalvik/2.1.0 (Linux; U; Android 13; SM-G988B Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; V2145 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-S906U1 Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-N980F Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; SM-M526B Build/TP1A.220624.014)
